STATE_INDEX,BITSTRING_Q0_TO_Q8,COUNT,EMPIRICAL_PROBABILITY,THEORETICAL_PROBABILITY,IS_FEASIBLE,IS_OPTIMAL,ORDER_NODE_IDS,ROAD_DISTANCE_KM,CONSTRAINT_VIOLATION,QUBO_ENERGY
143,111100010,1,0.000244140625,0.00018634783446273912,False,False,INFACTIBLE,,6.0,1663.0533999999998
146,010010010,1,0.000244140625,0.00037143663298021555,False,False,INFACTIBLE,,6.0,1375.3004999999998
155,110110010,1,0.000244140625,9.454438141918964e-05,False,False,INFACTIBLE,,8.0,2066.0594
157,101110010,1,0.000244140625,0.0001606428598211417,False,False,INFACTIBLE,,4.0,1226.0557
166,011001010,1,0.000244140625,0.0002592505955167164,False,False,INFACTIBLE,,4.0,1127.7566
167,111001010,1,0.000244140625,0.00018634783446273894,False,False,INFACTIBLE,,6.0,1663.0533999999998
172,001101010,1,0.000244140625,0.001473482143807457,False,False,INFACTIBLE,,2.0,760.4778
175,111101010,1,0.000244140625,2.9699584522154276e-05,False,False,INFACTIBLE,,8.0,2255.5132
180,001011010,1,0.000244140625,0.00021900332112988498,False,False,INFACTIBLE,,4.0,1127.7566
182,011011010,1,0.000244140625,9.454438141918975e-05,False,False,INFACTIBLE,,8.0,2066.0594
185,100111010,1,0.000244140625,0.00020483018545151374,False,False,INFACTIBLE,,6.0,1698.7805999999998
186,010111010,1,0.000244140625,0.00022466400172669687,False,False,INFACTIBLE,,8.0,2101.7866
188,001111010,1,0.000244140625,0.00020483018545151388,False,False,INFACTIBLE,,6.0,1698.7805999999998
198,011000110,1,0.000244140625,0.00041805521116503383,False,False,INFACTIBLE,,4.0,1069.1556
199,111000110,1,0.000244140625,8.890648063698235e-05,False,False,INFACTIBLE,,8.0,2062.8858999999998
203,110100110,1,0.000244140625,9.277744452640224e-05,False,False,INFACTIBLE,,8.0,2120.0489
205,101100110,1,0.000244140625,0.00019875137157128315,False,False,INFACTIBLE,,6.0,1707.8711999999998
206,011100110,1,0.000244140625,0.00022901135443537655,False,False,INFACTIBLE,,4.0,1203.1819
209,100010110,1,0.000244140625,0.0002815119769389151,False,False,INFACTIBLE,,4.0,1102.3235
210,010010110,1,0.000244140625,6.492571101360248e-05,False,False,INFACTIBLE,,6.0,1471.6295999999998
219,110110110,1,0.000244140625,2.584176010163554e-05,False,False,INFACTIBLE,,12.0,3079.2554999999998
229,101001110,1,0.000244140625,0.00016704900310249827,False,False,INFACTIBLE,,4.0,1249.4377
234,010101110,1,0.000244140625,0.0001560934917233371,False,False,INFACTIBLE,,4.0,1260.3449
240,000011110,1,0.000244140625,0.0003160321563120491,False,False,INFACTIBLE,,4.0,1116.6149
242,010011110,1,0.000244140625,0.00017509769465399818,False,False,INFACTIBLE,,6.0,1605.6558999999997
